日付,曜日,レース番号,1着,2着,3着,3連単払戻,人気,風速,風向,波高,気温,水温,水質,潮位区分,1艇_選手名,1艇_級別,1艇_全国勝率,1艇_全国2連率,1艇_当地勝率,1艇_今節成績,1艇_モーター2連率,1艇_ボート2連率,1艇_展示タイム,1艇_展示ST,1艇_チルト,1艇_展示進入,1艇_実進入,1艇_F数,1艇_L数,2艇_選手名,2艇_級別,2艇_全国勝率,2艇_全国2連率,2艇_当地勝率,2艇_今節成績,2艇_モーター2連率,2艇_ボート2連率,2艇_展示タイム,2艇_展示ST,2艇_チルト,2艇_展示進入,2艇_実進入,2艇_F数,2艇_L数,3艇_選手名,3艇_級別,3艇_全国勝率,3艇_全国2連率,3艇_当地勝率,3艇_今節成績,3艇_モーター2連率,3艇_ボート2連率,3艇_展示タイム,3艇_展示ST,3艇_チルト,3艇_展示進入,3艇_実進入,3艇_F数,3艇_L数,4艇_選手名,4艇_級別,4艇_全国勝率,4艇_全国2連率,4艇_当地勝率,4艇_今節成績,4艇_モーター2連率,4艇_ボート2連率,4艇_展示タイム,4艇_展示ST,4艇_チルト,4艇_展示進入,4艇_実進入,4艇_F数,4艇_L数,5艇_選手名,5艇_級別,5艇_全国勝率,5艇_全国2連率,5艇_当地勝率,5艇_今節成績,5艇_モーター2連率,5艇_ボート2連率,5艇_展示タイム,5艇_展示ST,5艇_チルト,5艇_展示進入,5艇_実進入,5艇_F数,5艇_L数,6艇_選手名,6艇_級別,6艇_全国勝率,6艇_全国2連率,6艇_当地勝率,6艇_今節成績,6艇_モーター2連率,6艇_ボート2連率,6艇_展示タイム,6艇_展示ST,6艇_チルト,6艇_展示進入,6艇_実進入,6艇_F数,6艇_L数
2022-04-26,火,11,4,1,2,2790,10,1,11,1,21.0,16.0,海水,中潮,清水敦揮,A1,6.12,41.10,5.47,5/3,44.00,40.74,6.84,F0.10,0.0,1,1,0,0,山本浩次,A2,5.17,33.94,5.15,5/5,52.63,32.35,6.86,0.31,0.0,2,2,1,0,荒井輝年,A2,6.40,48.15,6.27,5/4,36.49,25.71,6.90,0.24,-0.5,3,3,1,0,藤原啓史朗,A2,6.35,48.18,6.56,6/6,48.48,24.24,6.83,0.07,0.5,4,4,0,0,川上清人,B1,4.52,25.23,4.58,2/4,48.53,32.35,6.88,0.05,0.0,5,5,0,0,角山雄哉,B1,4.89,26.47,0.00,3/2,31.08,4.17,6.82,0.15,-0.5,6,6,1,0
2022-04-26,火,12,1,6,5,10660,27,2,11,1,21.0,16.0,海水,中潮,茅原悠紀,A1,7.38,47.75,7.62,2/2,40.00,31.43,6.80,0.09,0.0,1,1,0,0,山本寛久,A1,6.18,41.23,6.40,6/3,42.03,33.33,6.77,0.09,0.0,2,2,0,0,妹尾忠幸,A1,6.61,47.22,6.43,6/3,39.19,21.74,6.85,0.05,-0.5,3,3,1,0,渡邉和将,A1,7.30,57.14,6.54,6/5,42.62,36.11,6.80,0.01,0.0,4,4,1,0,村岡賢人,A1,5.95,36.64,6.66,1/1,26.47,34.21,6.84,0.08,0.0,5,5,0,0,入海馨,A1,6.10,39.36,5.75,3/2,42.42,50.00,6.94,0.09,0.0,6,6,0,0
2022-04-27,水,1,1,4,3,1330,5,2,11,3,21.0,16.0,海水,中潮,東健介,B1,5.60,35.90,5.02,2/4/5/3,38.67,42.86,6.76,0.06,0.0,1,1,0,0,坂本雅佳,B1,3.81,17.31,4.02,6/6,39.44,32.43,6.83,0.17,0.0,2,2,1,0,中井俊祐,B1,4.53,26.80,0.00,5/6,33.75,26.47,6.85,0.20,0.0,3,3,0,0,橋本明,B1,4.67,22.45,4.61,2/5,27.50,32.43,6.81,0.05,0.0,4,4,1,0,宮野仁,B1,4.69,25.53,4.74,1/4/6/3,44.12,50.00,6.94,F0.01,0.0,5,5,1,0,岩橋裕馬,B1,4.23,17.59,3.57,2/4,29.58,33.33,6.90,0.11,0.0,6,6,0,0
2022-04-27,水,2,1,3,2,5160,20,0,17,1,24.0,16.0,海水,中潮,山根大樹,B1,4.24,22.62,4.27,3/4,32.39,42.11,6.71,0.03,0.0,1,1,0,0,渡辺空依,B2,3.49,11.76,2.78,6/6,37.97,21.43,6.83,0.11,0.0,2,2,0,0,宮本裕之,B1,4.44,26.53,0.00,4/4,30.14,20.59,6.82,0.12,0.0,3,3,0,0,小畑実成,B1,5.85,40.15,6.09,6/3/6/3,33.80,31.43,6.87,0.01,0.0,4,4,0,0,佐藤太亮,B2,2.13,2.94,2.08,6/1,44.78,55.56,6.82,0.07,0.0,5,5,0,0,岡瀬正人,A2,6.30,44.14,6.12,5/4,30.14,33.33,6.85,F0.01,0.0,6,6,0,0
2022-04-27,水,3,1,3,4,4930,18,1,7,1,24.0,16.0,海水,中潮,川崎公靖,B1,5.18,28.93,5.16,5/5,28.40,33.33,6.89,0.23,0.0,1,1,1,0,入海馨,A1,6.10,39.36,5.75,3/6/2/2,42.42,50.00,6.96,0.09,0.0,2,2,0,0,福嶋智之,B1,4.51,23.85,4.84,5/2/1/1,54.24,44.74,6.92,0.46,0.0,3,3,1,0,原村拓也,B1,4.03,17.12,5.22,3/2/2/4,58.62,41.94,6.84,0.08,0.0,4,4,1,0,前原大道,B1,5.24,32.41,4.92,4/1/5/1,35.71,40.54,6.90,0.05,0.0,5,5,1,0,山口達也,A2,7.25,57.47,6.55,3/6,32.88,34.21,7.09,0.08,-0.5,6,6,1,0
2022-04-27,水,4,2,4,3,8550,30,6,5,5,24.0,16.0,海水,中潮,和田拓也,B1,5.65,33.86,4.57,3/4/5/5,35.48,52.63,6.86,0.13,0.0,1,1,0,0,長谷川雅和,B1,4.74,35.14,5.70,4/3/3/2,28.92,32.26,6.86,F0.09,0.0,2,2,0,0,下田哲也,B1,4.86,25.42,4.93,4/1/3/1,31.82,32.43,6.79,F0.01,0.0,3,3,0,0,山田佑樹,A2,5.64,39.13,5.84,6/2,27.85,46.88,6.90,0.01,-0.5,4,4,1,0,井手良太,A2,5.44,35.63,4.63,1/4/1/6,39.19,51.35,6.81,F0.01,0.0,5,5,1,0,清水敦揮,A1,6.12,41.10,5.47,5/1/3/2,44.00,40.74,6.98,0.00,0.0,6,6,0,0
2022-04-27,水,5,3,2,1,3720,12,5,5,5,24.0,16.0,海水,中潮,荒井輝年,A2,6.40,48.15,6.27,5/3/4/6,36.49,25.71,6.89,F0.01,-0.5,1,1,1,0,柴田大輔,B1,4.94,33.66,4.30,1/5/1/5,42.50,37.93,6.79,0.02,0.0,2,2,1,0,渡邉和将,A1,7.30,57.14,6.54,6/4/5/5,42.62,36.11,6.76,0.05,0.0,3,3,1,0,坂本雅佳,B1,3.81,17.31,4.02,6/2/6/4,39.44,32.43,6.98,0.01,0.0,4,4,1,0,森定晃史,A2,6.53,48.87,6.66,4/1/3/2,46.27,43.24,6.96,F0.02,0.0,5,5,0,0,川上清人,B1,4.52,25.23,4.58,2/5/4/5,48.53,32.35,6.85,F0.03,0.5,6,6,0,0
2022-04-27,水,6,1,2,3,2110,5,5,7,5,24.0,16.0,海水,中潮,橋本明,B1,4.67,22.45,4.61,2/4/5/2,27.50,32.43,6.89,0.09,0.0,1,1,1,0,妹尾忠幸,A1,6.61,47.22,6.43,6/3/3/6,39.19,21.74,6.90,0.18,0.0,2,2,1,0,渡辺空依,B2,3.49,11.76,2.78,6/2/6/3,37.97,21.43,6.86,0.03,0.0,3,3,0,0,峰重侑治,B1,5.33,33.33,5.25,1/5/1/5,32.05,38.46,6.93,0.01,0.0,4,4,1,0,平岡重典,B1,4.70,26.32,5.40,2/3/4/6,32.88,38.89,6.92,F0.03,0.0,5,5,0,0,山本修一,A2,6.18,39.32,7.19,5/1/2/1,42.67,19.44,6.98,F0.10,0.0,6,6,0,0
2022-04-27,水,7,1,6,4,4150,16,4,7,3,24.0,16.0,海水,中潮,末永由楽,A1,5.79,37.82,6.17,6/4,28.38,34.29,6.88,0.06,-0.5,1,1,1,0,前原大道,B1,5.24,32.41,4.92,4/1/5/5/1/4,35.71,40.54,6.97,0.13,0.0,2,2,1,0,大野芳顕,B1,5.59,34.65,6.00,4/2/3/6,39.47,31.43,6.92,0.18,-0.5,3,3,1,0,岩橋裕馬,B1,4.23,17.59,3.57,2/6/4/6,29.58,33.33,6.89,0.19,0.0,4,4,0,0,山根大樹,B1,4.24,22.62,4.27,3/1/4/1,32.39,42.11,6.87,0.02,0.0,5,5,0,0,村岡賢人,A1,5.95,36.64,6.66,1/5/1/3,26.47,34.21,6.89,F0.02,0.5,6,6,0,0
2022-04-27,水,8,5,2,3,12420,57,2,7,3,24.0,16.0,海水,中潮,角山雄哉,B1,4.89,26.47,0.00,3/6/2/4,31.08,4.17,6.85,0.28,-0.5,1,1,1,0,井川大作,B1,4.09,15.94,4.55,1/3/2/4,32.00,50.00,6.74,0.06,0.0,2,2,0,0,山本浩次,A2,5.17,33.94,5.15,5/2/5/3,52.63,32.35,6.77,0.12,0.0,3,3,1,0,林祐介,A2,5.60,40.00,5.53,2/2,34.15,56.76,6.68,F0.16,-0.5,4,4,0,0,入海馨,A1,6.10,39.36,5.75,3/6/2/2/2/5,42.42,50.00,6.83,F0.02,0.0,5,5,0,0,佐藤太亮,B2,2.13,2.94,2.08,6/5/1/6,44.78,55.56,6.81,0.11,0.0,6,6,0,0
